month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,dest,air_time,distance,hour,minute,carrier_name,dest_name
1,1,1238,68,1606,62,OO,N947SW,5576,DEN,126,991,12,38,SkyWest Airlines Inc.,Denver Intl
1,1,1243,-7,1440,0,AS,N607AS,388,SFO,86,550,12,43,Alaska Airlines Inc.,San Francisco Intl
1,1,1245,-10,1454,-3,AS,N622AS,622,LAS,105,763,12,45,Alaska Airlines Inc.,Mc Carran Intl
1,1,1245,98,1345,103,OO,N229SW,5397,SEA,40,129,12,45,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,1,1253,-7,1808,-8,DL,N964DN,2164,MSP,174,1426,12,53,Delta Air Lines Inc.,Minneapolis St Paul Intl
1,1,1255,30,1434,24,WN,N383SW,806,OAK,81,543,12,55,Southwest Airlines Co.,Metropolitan Oakland Intl
1,1,1258,25,1438,12,UA,N464UA,353,SFO,81,550,12,58,United Air Lines Inc.,San Francisco Intl
1,1,1310,-5,1523,-7,OO,N223AG,3478,LGB,117,846,13,10,SkyWest Airlines Inc.,Long Beach
1,1,1314,-6,1547,-13,DL,N355NW,2093,SLC,77,630,13,14,Delta Air Lines Inc.,Salt Lake City Intl
1,1,1323,-2,2038,-15,DL,N393DA,773,ATL,235,2172,13,23,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
1,1,1325,5,1518,-7,WN,N444WN,425,LAS,103,763,13,25,Southwest Airlines Co.,Mc Carran Intl
1,1,1326,-6,1509,-16,UA,N832UA,367,SFO,86,550,13,26,United Air Lines Inc.,San Francisco Intl
1,1,1340,-5,1452,-13,WN,N436WN,103,RNO,59,444,13,40,Southwest Airlines Co.,Reno Tahoe Intl
1,1,1422,57,2047,72,AA,N3DPAA,115,ORD,200,1739,14,22,American Airlines Inc.,Chicago Ohare Intl
1,1,1450,49,2101,66,UA,N69806,1584,ORD,198,1739,14,50,United Air Lines Inc.,Chicago Ohare Intl
1,1,1453,-2,1702,-9,AS,N508AS,570,LAX,111,834,14,53,Alaska Airlines Inc.,Los Angeles Intl
1,1,1500,50,1633,38,WN,N217JC,3255,SJC,84,569,15,0,Southwest Airlines Co.,Norman Y Mineta San Jose Intl
1,1,1517,96,1612,98,OO,N229SW,5423,SEA,40,129,15,17,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,1,1520,1,1848,2,UA,N75429,1051,DEN,127,991,15,20,United Air Lines Inc.,Denver Intl
1,1,1531,36,1906,46,WN,N761RR,786,DEN,127,991,15,31,Southwest Airlines Co.,Denver Intl
1,1,1543,-7,1813,8,AS,N615AS,592,SNA,121,859,15,43,Alaska Airlines Inc.,John Wayne Arpt Orange Co
1,1,1545,10,2114,4,AA,N565AA,157,DFW,180,1616,15,45,American Airlines Inc.,Dallas Fort Worth Intl
1,1,1545,15,1621,9,OO,N295SW,5331,RDM,25,116,15,45,SkyWest Airlines Inc.,Roberts Fld
1,1,1554,64,1905,55,F9,N202FR,792,DEN,118,991,15,54,Frontier Airlines Inc.,Denver Intl
1,1,1554,39,1912,27,US,N631AW,500,PHX,123,1009,15,54,US Airways Inc.,Phoenix Sky Harbor Intl
1,1,1627,17,1854,4,WN,N784SW,20,SLC,79,630,16,27,Southwest Airlines Co.,Salt Lake City Intl
1,1,1629,4,1834,-1,OO,N215AG,3494,SBA,105,784,16,29,SkyWest Airlines Inc.,Santa Barbara Muni
1,1,1633,43,1849,43,AS,N788AS,588,PSP,118,873,16,33,Alaska Airlines Inc.,Palm Springs Intl
1,1,1637,2,1915,-5,OO,N823SK,4520,SLC,78,630,16,37,SkyWest Airlines Inc.,Salt Lake City Intl
1,1,1638,8,1824,15,AS,N614AS,402,SJC,86,569,16,38,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
1,1,1712,47,1913,38,OO,N218AG,3462,ONT,109,838,17,12,SkyWest Airlines Inc.,Ontario Intl
1,1,1720,0,1932,-6,OO,N815SK,4684,LAX,112,834,17,20,SkyWest Airlines Inc.,Los Angeles Intl
1,1,1728,78,1926,71,WN,N472WN,839,LAS,105,763,17,28,Southwest Airlines Co.,Mc Carran Intl
1,1,1741,-4,1953,-8,AS,N318AS,562,LAX,109,834,17,41,Alaska Airlines Inc.,Los Angeles Intl
1,1,1743,-2,1949,-2,OO,N219AG,3488,BUR,111,817,17,43,SkyWest Airlines Inc.,Bob Hope
1,1,1744,8,1842,13,OO,N229SW,5417,SEA,36,129,17,44,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,1,1751,144,1928,135,UA,N802UA,212,SFO,81,550,17,51,United Air Lines Inc.,San Francisco Intl
1,1,1756,-4,2118,-12,US,N655AW,577,PHX,127,1009,17,56,US Airways Inc.,Phoenix Sky Harbor Intl
1,1,1759,-1,1934,-11,VX,N523VA,813,SFO,80,550,17,59,Virgin America,San Francisco Intl
1,1,1807,19,1951,11,OO,N938SW,5553,SFO,82,550,18,7,SkyWest Airlines Inc.,San Francisco Intl
1,1,1808,73,1930,70,WN,N367SW,747,SMF,69,479,18,8,Southwest Airlines Co.,Sacramento Intl
1,1,1819,-5,2025,-14,B6,N662JB,1621,LGB,113,846,18,19,JetBlue Airways,Long Beach
1,1,1821,15,2135,2,UA,N524UA,550,DEN,111,991,18,21,United Air Lines Inc.,Denver Intl
1,1,1829,-11,2222,-33,AS,N565AS,863,OGG,329,2562,18,29,Alaska Airlines Inc.,Kahului
1,1,1835,105,2015,105,WN,N389SW,568,OAK,87,543,18,35,Southwest Airlines Co.,Metropolitan Oakland Intl
1,1,1851,-4,2052,-2,AS,N622AS,620,LAS,103,763,18,51,Alaska Airlines Inc.,Mc Carran Intl
1,1,1851,21,2029,19,WN,N380SW,348,SJC,87,569,18,51,Southwest Airlines Co.,Norman Y Mineta San Jose Intl
1,1,1858,-2,2056,-4,AS,N529AS,379,SFO,84,550,18,58,Alaska Airlines Inc.,San Francisco Intl
1,1,1859,-1,2117,-13,OO,N925SW,6250,LAX,115,834,18,59,SkyWest Airlines Inc.,Los Angeles Intl
1,1,1921,56,2038,48,WN,N353SW,718,SMF,66,479,19,21,Southwest Airlines Co.,Sacramento Intl
1,1,1925,90,2246,81,WN,N493WN,1115,PHX,129,1009,19,25,Southwest Airlines Co.,Phoenix Sky Harbor Intl
1,1,1936,8,2119,-2,UA,N402UA,995,SFO,82,550,19,36,United Air Lines Inc.,San Francisco Intl
1,1,1949,79,2117,67,WN,N961WN,3963,OAK,76,543,19,49,Southwest Airlines Co.,Metropolitan Oakland Intl
1,1,1954,-10,2134,-22,OO,N471CA,5659,SFO,84,550,19,54,SkyWest Airlines Inc.,San Francisco Intl
1,1,2001,6,2144,10,AS,N585AS,404,SJC,84,569,20,1,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
1,1,2012,-3,2219,-6,OO,N223AG,3464,ONT,110,838,20,12,SkyWest Airlines Inc.,Ontario Intl
1,1,2014,-6,2328,-28,US,N662AW,581,PHX,120,1009,20,14,US Airways Inc.,Phoenix Sky Harbor Intl
1,1,2020,30,2316,18,AS,N516AS,137,ANC,208,1542,20,20,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
1,1,2038,78,2348,68,F9,N934FR,794,DEN,114,991,20,38,Frontier Airlines Inc.,Denver Intl
1,1,2043,-2,2307,1,AS,N786AS,574,SAN,126,933,20,43,Alaska Airlines Inc.,San Diego Intl
1,1,2122,-8,2327,-4,AS,N619AS,624,LAS,101,763,21,22,Alaska Airlines Inc.,Mc Carran Intl
1,1,2130,13,531,16,B6,N635JB,1206,JFK,274,2454,21,30,JetBlue Airways,John F Kennedy Intl
1,1,2221,1,2308,11,OO,N229SW,5440,RDM,28,116,22,21,SkyWest Airlines Inc.,Roberts Fld
1,1,2221,-4,550,-30,US,N571UW,467,CLT,250,2282,22,21,US Airways Inc.,Charlotte Douglas Intl
1,1,2229,-1,2336,-5,OO,N295SW,5437,LMT,50,241,22,29,SkyWest Airlines Inc.,Klamath Falls Airport
1,1,2237,-1,623,-4,UA,N573UA,583,EWR,261,2434,22,37,United Air Lines Inc.,Newark Liberty Intl
1,1,2253,8,611,4,DL,N371DA,503,ATL,240,2172,22,53,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
1,1,2259,-5,442,-18,UA,N29717,1632,ORD,196,1739,22,59,United Air Lines Inc.,Chicago Ohare Intl
1,2,44,49,641,51,UA,N423UA,758,IAH,215,1825,0,44,United Air Lines Inc.,George Bush Intercontinental
1,2,45,-10,550,-18,DL,N924DN,1080,MSP,168,1426,0,45,Delta Air Lines Inc.,Minneapolis St Paul Intl
1,2,57,113,628,88,UA,N21723,1632,ORD,196,1739,0,57,United Air Lines Inc.,Chicago Ohare Intl
1,2,151,321,310,315,WN,N735SA,1546,SMF,67,479,1,51,Southwest Airlines Co.,Sacramento Intl
1,2,516,-9,839,-16,US,N523UW,649,PHX,128,1009,5,16,US Airways Inc.,Phoenix Sky Harbor Intl
1,2,528,-2,1119,-14,UA,N848UA,275,IAH,213,1825,5,28,United Air Lines Inc.,George Bush Intercontinental
1,2,552,-8,830,-18,DL,N663DN,1831,SLC,80,630,5,52,Delta Air Lines Inc.,Salt Lake City Intl
1,2,557,-3,914,-11,F9,N221FR,796,DEN,117,991,5,57,Frontier Airlines Inc.,Denver Intl
1,2,558,-2,733,-12,WN,N498WN,1461,OAK,81,543,5,58,Southwest Airlines Co.,Metropolitan Oakland Intl
1,2,558,-2,922,-8,WN,N776WN,1927,PHX,129,1009,5,58,Southwest Airlines Co.,Phoenix Sky Harbor Intl
1,2,606,1,1157,0,UA,N87531,1573,ORD,201,1739,6,6,United Air Lines Inc.,Chicago Ohare Intl
1,2,611,11,752,9,AS,N760AS,406,SJC,86,569,6,11,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
1,2,614,-6,1158,-7,AA,N4XJAA,1650,DFW,194,1616,6,14,American Airlines Inc.,Dallas Fort Worth Intl
1,2,621,46,801,35,UA,N35260,1209,SFO,83,550,6,21,United Air Lines Inc.,San Francisco Intl
1,2,625,5,939,-6,WN,N260WN,1111,DEN,118,991,6,25,Southwest Airlines Co.,Denver Intl
1,2,627,-3,1350,-7,DL,N3746H,1156,ATL,244,2172,6,27,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
1,2,628,48,941,34,UA,N37462,1569,DEN,115,991,6,28,United Air Lines Inc.,Denver Intl
1,2,635,-5,1009,1,AS,N536AS,646,PHX,128,1009,6,35,Alaska Airlines Inc.,Phoenix Sky Harbor Intl
1,2,636,-4,854,-6,AS,N532AS,572,SAN,119,933,6,36,Alaska Airlines Inc.,San Diego Intl
1,2,637,2,1231,1,WN,N8603F,401,MDW,216,1751,6,37,Southwest Airlines Co.,Chicago Midway Intl
1,2,637,17,1442,11,UA,N37466,1021,EWR,286,2434,6,37,United Air Lines Inc.,Newark Liberty Intl
1,2,638,-2,842,-6,OO,N218AG,3456,BUR,105,817,6,38,SkyWest Airlines Inc.,Bob Hope
1,2,642,-3,857,-11,OO,N804SK,4692,LAX,112,834,6,42,SkyWest Airlines Inc.,Los Angeles Intl
1,2,644,-1,912,7,AS,N703AS,560,LAX,111,834,6,44,Alaska Airlines Inc.,Los Angeles Intl
1,2,647,17,824,8,UA,N76503,1621,SFO,83,550,6,47,United Air Lines Inc.,San Francisco Intl
1,2,650,5,846,-4,WN,N943WN,247,LAS,103,763,6,50,Southwest Airlines Co.,Mc Carran Intl
1,2,655,-5,1213,-7,DL,N934DN,2090,MSP,175,1426,6,55,Delta Air Lines Inc.,Minneapolis St Paul Intl
1,2,656,-4,915,-6,AS,N622AS,582,SNA,118,859,6,56,Alaska Airlines Inc.,John Wayne Arpt Orange Co
1,2,658,-2,1051,-29,AS,N514AS,833,HNL,326,2603,6,58,Alaska Airlines Inc.,Honolulu Intl
1,2,659,-6,919,-3,B6,N524JB,1121,LGB,113,846,6,59,JetBlue Airways,Long Beach
1,2,701,1,826,-4,WN,N904WN,2885,SMF,70,479,7,1,Southwest Airlines Co.,Sacramento Intl
1,2,702,34,1447,35,UA,N538UA,250,IAD,257,2327,7,2,United Air Lines Inc.,Washington Dulles Intl
1,2,703,-2,912,-7,OO,N219AG,3460,ONT,109,838,7,3,SkyWest Airlines Inc.,Ontario Intl
1,2,704,-6,1535,21,DL,N3748Y,2258,JFK,285,2454,7,4,Delta Air Lines Inc.,John F Kennedy Intl
1,2,709,-6,912,-15,AS,N315AS,244,SFO,81,550,7,9,Alaska Airlines Inc.,San Francisco Intl
1,2,710,10,907,22,VX,N523VA,805,SFO,86,550,7,10,Virgin America,San Francisco Intl
1,2,723,8,915,-3,AS,N614AS,626,LAS,100,763,7,23,Alaska Airlines Inc.,Mc Carran Intl
1,2,726,6,1124,-18,AS,N579AS,855,KOA,340,2607,7,26,Alaska Airlines Inc.,Kona Intl At Keahole
1,2,749,-1,929,-11,WN,N762SW,373,SJC,87,569,7,49,Southwest Airlines Co.,Norman Y Mineta San Jose Intl
1,2,750,5,849,9,OO,N585SW,5379,SEA,40,129,7,50,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,2,802,-3,943,-7,WN,N437WN,48,OAK,86,543,8,2,Southwest Airlines Co.,Metropolitan Oakland Intl
1,2,808,8,1020,-5,AS,N309AS,568,LAX,109,834,8,8,Alaska Airlines Inc.,Los Angeles Intl
1,2,810,-5,1328,-5,DL,N950DN,2154,MSP,173,1426,8,10,Delta Air Lines Inc.,Minneapolis St Paul Intl
1,2,834,29,1400,10,AA,N568AA,1220,DFW,189,1616,8,34,American Airlines Inc.,Dallas Fort Worth Intl
1,2,836,11,1429,-1,UA,N37413,1510,IAH,215,1825,8,36,United Air Lines Inc.,George Bush Intercontinental
1,2,843,-2,1207,-6,US,N648AW,685,PHX,130,1009,8,43,US Airways Inc.,Phoenix Sky Harbor Intl
1,2,846,1,1226,16,WN,N366SW,103,DEN,121,991,8,46,Southwest Airlines Co.,Denver Intl
1,2,855,5,1130,0,WN,N614SW,223,SLC,84,630,8,55,Southwest Airlines Co.,Salt Lake City Intl
1,2,911,-4,1246,-19,OO,N223AG,3466,TUS,139,1119,9,11,SkyWest Airlines Inc.,Tucson Intl
1,2,917,-4,1012,-4,OO,N567SW,5428,SEA,41,129,9,17,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,2,918,-2,1643,-2,DL,N3756,1940,ATL,249,2172,9,18,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
1,2,922,-3,1811,36,AS,N526AS,30,BOS,290,2537,9,22,Alaska Airlines Inc.,General Edward Lawrence Logan Intl
1,2,929,-1,1122,-1,OO,N764SK,5196,SFO,81,550,9,29,SkyWest Airlines Inc.,San Francisco Intl
1,2,945,-5,1730,-5,AS,N552AS,752,ATL,255,2172,9,45,Alaska Airlines Inc.,Hartsfield Jackson Atlanta Intl
1,2,946,-4,1234,-24,AS,N306AS,131,ANC,215,1542,9,46,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
1,2,949,-6,1732,-8,AS,N516AS,764,DCA,268,2350,9,49,Alaska Airlines Inc.,Ronald Reagan Washington Natl
1,2,1001,-4,1222,-1,AS,N619AS,580,SNA,120,859,10,1,Alaska Airlines Inc.,John Wayne Arpt Orange Co
1,2,1014,-1,1244,-12,DL,N327NB,2189,SLC,79,630,10,14,Delta Air Lines Inc.,Salt Lake City Intl
1,2,1017,2,1545,-19,AS,N565AS,658,DFW,190,1616,10,17,Alaska Airlines Inc.,Dallas Fort Worth Intl
1,2,1026,11,1426,6,HA,N383HA,25,HNL,335,2603,10,26,Hawaiian Airlines Inc.,Honolulu Intl
1,2,1028,-2,1358,1,AS,N779AS,640,PHX,132,1009,10,28,Alaska Airlines Inc.,Phoenix Sky Harbor Intl
1,2,1034,5,1304,6,OO,N929SW,6518,LAX,116,834,10,34,SkyWest Airlines Inc.,Los Angeles Intl
1,2,1040,0,1357,-3,F9,N935FR,788,DEN,121,991,10,40,Frontier Airlines Inc.,Denver Intl
1,2,1051,0,1234,-5,OO,N947SW,5243,SFO,86,550,10,51,SkyWest Airlines Inc.,San Francisco Intl
1,2,1056,-4,1305,-8,AS,N760AS,564,LAX,113,834,10,56,Alaska Airlines Inc.,Los Angeles Intl
1,2,1100,10,1613,8,WN,N904WN,899,MCI,179,1482,11,0,Southwest Airlines Co.,Kansas City Intl
1,2,1101,1,1427,-3,WN,N358SW,1537,PHX,133,1009,11,1,Southwest Airlines Co.,Phoenix Sky Harbor Intl
1,2,1105,-2,1151,-11,OO,N229SW,5397,SEA,37,129,11,5,SkyWest Airlines Inc.,Seattle Tacoma Intl
1,2,1119,-6,1437,-17,US,N820AW,634,PHX,125,1009,11,19,US Airways Inc.,Phoenix Sky Harbor Intl
1,2,1125,5,1508,-27,AS,N581AS,809,OGG,330,2562,11,25,Alaska Airlines Inc.,Kahului
1,2,1126,-4,1340,-11,AS,N586AS,578,SAN,122,933,11,26,Alaska Airlines Inc.,San Diego Intl
1,2,1138,8,1335,0,WN,N7744A,359,LAS,105,763,11,38,Southwest Airlines Co.,Mc Carran Intl
1,2,1141,-1,1226,4,OO,N585SW,5438,EUG,29,106,11,41,SkyWest Airlines Inc.,Mahlon Sweet Fld
1,2,1151,5,1356,-5,B6,N625JB,1521,LGB,113,846,11,51,JetBlue Airways,Long Beach
1,2,1155,-1,1233,-5,OO,N567SW,5325,RDM,26,116,11,55,SkyWest Airlines Inc.,Roberts Fld
1,2,1157,-8,1334,-16,VX,N528VA,817,SFO,88,550,11,57,Virgin America,San Francisco Intl
1,2,1159,33,1758,38,UA,N821UA,646,ORD,200,1739,11,59,United Air Lines Inc.,Chicago Ohare Intl
1,2,1203,48,1515,40,WN,N761RR,3042,DEN,120,991,12,3,Southwest Airlines Co.,Denver Intl
1,2,1206,20,1921,34,DL,N807DN,1466,DTW,234,1953,12,6,Delta Air Lines Inc.,Detroit Metro Wayne Co
1,2,1212,-3,1422,1,OO,N218AG,3454,BUR,108,817,12,12,SkyWest Airlines Inc.,Bob Hope
1,2,1217,27,1441,31,OO,N617QX,4469,LAX,108,834,12,17,SkyWest Airlines Inc.,Los Angeles Intl
1,2,1229,19,1806,11,AA,N4WJAA,1568,DFW,189,1616,12,29,American Airlines Inc.,Dallas Fort Worth Intl
1,2,1231,61,1548,44,OO,N957SW,5576,DEN,115,991,12,31,SkyWest Airlines Inc.,Denver Intl
1,2,1233,23,1415,20,WN,N908WN,3252,SJC,87,569,12,33,Southwest Airlines Co.,Norman Y Mineta San Jose Intl
